"V01.00.000"
"$_Languages"
"9(1) Ó¢Óï(ÃÀ¹ú)","7(1) µÂÓï(µÂ¹ú)"
"$_Timestamp"
"04.09.2019  18:45:28","04.09.2019  18:45:28"
"$_Typ(InterfaceComment)"
"From Channel 1","von Kanal 1"
"Feed disable A.no.51000-510015","Vorschubsperre A.-Nr.51000-510015"
"Feed and read-in disable A.no.510100-510131","Vorschub-Einlesesperre A.-Nr.510100-510131"
"Read-in disable A.no.510200-510231","Einlesesperre A.-Nr.510200-510231"
"NC start disable A.no.510300-510315","NC-Start-Sperre A.-Nr.510300-510315"
"Feed stop GEOaxis 1 A.no.511100-511115","Vorschub Halt GEOachse 1 A.-Nr.511100-511115"
"Feed stop GEOaxis 2 A.no.511200-511215","Vorschub Halt GEOachse 2 A.-Nr.511200-511215"
"Feed stop GEOaxis 3 A.no.511300-511315","Vorschub Halt GEOachse 3 A.-Nr.511300-511315"
"From Channel 2","von Kanal 2"
"Feed disable A.no.520000-520015","Vorschubsperre A.-Nr.520000-520015"
"Feed and read-in disable A.no.520100-520131","Vorschub-Einlesesperre A.-Nr.520100-520131"
"Read-in disable A.no.520200-520231","Einlesesperre A.-Nr.520200-520231"
"NC start disable A.no.520300-520315","NC-Start-Sperre A.-Nr.520300-520315"
"Feed stop GEOaxis 1 A.no.521100-521115","Vorschub Halt GEOachse 1 A.-Nr.521100-521115"
"Feed stop GEOaxis 2 A.no.521200-521215","Vorschub Halt GEOachse 2 A.-Nr.521200-521215"
"Feed stop GEOaxis 3 A.no.521300-521315","Vorschub Halt GEOachse 3 A.-Nr.521300-521315"
"From Channel 3","von Kanal 3"
"Feed disable A.no.530000-530015","Vorschubsperre A.-Nr.530000-530015"
"Feed and read-in disable A.no.530100-530131","Vorschub-Einlesesperre A.-Nr.530100-530131"
"Read-in disable A.no.530200-530231","Einlesesperre A.-Nr.530200-530231"
"NC start disable A.no.530300-530315","NC-Start-Sperre A.-Nr.530300-530315"
"Feed stop GEOaxis 1 A.no.531100-531115","Vorschub Halt GEOachse 1 A.-Nr.531100-531115"
"Feed stop GEOaxis 2 A.no.531200-531215","Vorschub Halt GEOachse 2 A.-Nr.531200-531215"
"Feed stop GEOaxis 3 A.no.531300-531315","Vorschub Halt GEOachse 3 A.-Nr.531300-531315"
"From Channel 4","von Kanal 4"
"Feed disable A.no.540000-540015","Vorschubsperre A.-Nr.540000-540015"
"Feed and read-in disable A.no.540100-540131","Vorschub-Einlesesperre A.-Nr.540100-540131"
"Read-in disable A.no.540200-540231","Einlesesperre A.-Nr.540200-540231"
"NC start disable A.no.540300-540315","NC-Start-Sperre A.-Nr.540300-540315"
"Feed stop GEOaxis 1 A.no.541100-541115","Vorschub Halt GEOachse 1 A.-Nr.541100-541115"
"Feed stop GEOaxis 2 A.no.541200-541215","Vorschub Halt GEOachse 2 A.-Nr.541200-541215"
"Feed stop GEOaxis 3 A.no.541300-541315","Vorschub Halt GEOachse 3 A.-Nr.541300-541315"
"From Channel 5","von Kanal 5"
"Feed disable A.no.550000-550015","Vorschubsperre A.-Nr.550000-550015"
"Feed and read-in disable A.no.550100-550131","Vorschub-Einlesesperre A.-Nr.550100-550131"
"Read-in disable A.no.550200-550231","Einlesesperre A.-Nr.550200-550231"
"NC start disable A.no.550300-550315","NC-Start-Sperre A.-Nr.550300-550315"
"Feed stop GEOaxis 1 A.no.551100-551115","Vorschub Halt GEOachse 1 A.-Nr.551100-551115"
"Feed stop GEOaxis 2 A.no.551200-551215","Vorschub Halt GEOachse 2 A.-Nr.551200-551215"
"Feed stop GEOaxis 3 A.no.551300-551315","Vorschub Halt GEOachse 3 A.-Nr.551300-551315"
"From Channel 6","von Kanal 6"
"Feed disable A.no.560000-560015","Vorschubsperre A.-Nr.560000-560015"
"Feed and read-in disable A.no.560100-560131","Vorschub-Einlesesperre A.-Nr.560100-560131"
"Read-in disable A.no.560200-560231","Einlesesperre A.-Nr.560200-560231"
"NC start disable A.no.560300-560315","NC-Start-Sperre A.-Nr.560300-560315"
"Feed stop GEOaxis 1 A.no.561100-561115","Vorschub Halt GEOachse 1 A.-Nr.561100-561115"
"Feed stop GEOaxis 2 A.no.561200-561215","Vorschub Halt GEOachse 2 A.-Nr.561200-561215"
"Feed stop GEOaxis 3 A.no.561300-561315","Vorschub Halt GEOachse 3 A.-Nr.561300-561315"
"From Channel 7","von Kanal 7"
"Feed disable A.no.570000-570015","Vorschubsperre A.-Nr.570000-570015"
"Feed and read-in disable A.no.570100-570131","Vorschub-Einlesesperre A.-Nr.570100-570131"
"Read-in disable A.no.570200-570231","Einlesesperre A.-Nr.570200-570231"
"NC start disable A.no.570300-570315","NC-Start-Sperre A.-Nr.570300-570315"
"Feed stop GEOaxis 1 A.no.571100-511115","Vorschub Halt GEOachse 1 A.-Nr.571100-511115"
"Feed stop GEOaxis 2 A.no.571200-511215","Vorschub Halt GEOachse 2 A.-Nr.571200-511215"
"Feed stop GEOaxis 3 A.no.571300-511315","Vorschub Halt GEOachse 3 A.-Nr.571300-511315"
"From Channel 8","von Kanal 8"
"Feed disable A.no.580000-580015","Vorschubsperre A.-Nr.580000-580015"
"Feed and read-in disable A.no.580100-510131","Vorschub-Einlesesperre A.-Nr.580100-510131"
"Read-in disable A.no.580200-580231","Einlesesperre A.-Nr.580200-580231"
"NC start disable A.no.580300-580315","NC-Start-Sperre A.-Nr.580300-580315"
"Feed stop GEOaxis 1 A.no.581100-511115","Vorschub Halt GEOachse 1 A.-Nr.581100-511115"
"Feed stop GEOaxis 2 A.no.581200-511215","Vorschub Halt GEOachse 2 A.-Nr.581200-511215"
"Feed stop GEOaxis 3 A.no.581300-511315","Vorschub Halt GEOachse 3 A.-Nr.581300-511315"
"Feed stop axis/spindle 1","Vorschub-Halt Achse/Spindel 1"
"Feed stop axis/spindle 2","Vorschub-Halt Achse/Spindel 2"
"Feed stop axis/spindle 3","Vorschub-Halt Achse/Spindel 3"
"Feed stop axis/spindle 4","Vorschub-Halt Achse/Spindel 4"
"Feed stop axis/spindle 5","Vorschub-Halt Achse/Spindel 5"
"Feed stop axis/spindle 6","Vorschub-Halt Achse/Spindel 6"
"Feed stop axis/spindle 7","Vorschub-Halt Achse/Spindel 7"
"Feed stop axis/spindle 8","Vorschub-Halt Achse/Spindel 8"
"Feed stop axis/spindle 9","Vorschub-Halt Achse/Spindel 9"
"Feed stop axis/spindle 10","Vorschub-Halt Achse/Spindel 10"
"Feed stop axis/spindle 11","Vorschub-Halt Achse/Spindel 11"
"Feed stop axis/spindle 12","Vorschub-Halt Achse/Spindel 12"
"Feed stop axis/spindle 13","Vorschub-Halt Achse/Spindel 13"
"Feed stop axis/spindle 14","Vorschub-Halt Achse/Spindel 14"
"Feed stop axis/spindle 15","Vorschub-Halt Achse/Spindel 15"
"Feed stop axis/spindle 16","Vorschub-Halt Achse/Spindel 16"
"Feed stop axis/spindle 17","Vorschub-Halt Achse/Spindel 17"
"Feed stop axis/spindle 18","Vorschub-Halt Achse/Spindel 18"
"Alarm 700000-700063 (user area 0)","Alarm 700000-700063 (Anwenderbereich 0)"
"Alarm 700100-700163 (user area 1)","Alarm 700100-700163 (Anwenderbereich 1)"
"Alarm 700200-700263 (user area 2)","Alarm 700200-700263 (Anwenderbereich 2)"
"Alarm 700300-700363 (user area 3)","Alarm 700300-700363 (Anwenderbereich 3)"
"Alarm 700400-700463 (user area 4)","Alarm 700400-700463 (Anwenderbereich 4)"
"Alarm 700500-700563 (user area 5","Alarm 700500-700563 (Anwenderbereich 5"
"Alarm 700600-700663 (user area 6)","Alarm 700600-700663 (Anwenderbereich 6)"
"Alarm 700700-700763 (user area 7)","Alarm 700700-700763 (Anwenderbereich 7)"
"Alarm 700800-700863 (user area 8)","Alarm 700800-700863 (Anwenderbereich 8)"
"Alarm 700900-700963 (user area 9)","Alarm 700900-700963 (Anwenderbereich 9)"
